vm_name,host_name,cluster_name,vm_power_state,vm_memory,vm_max_memory_usage,vm_cpu,vm_max_cpu_usage,percentage_memory,vm_vgpu_memory_mb,random_vgpu_memory,percentage_vgpu,percentage_cpu
ARLQ-PLA-001335,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,16384,8068,0,0
ARLQ-PLA-001453,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,5016,0,0
ARLQ-PLA-001433,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,13119,0,0
ARLQ-PLA-001446,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,4304,0,0
ARLQ-PLA-001447,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,11911,0,0
ARLQ-PLA-001431,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,1709,0,0
ARLQ-PLA-001282,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,6040,0,0
ARLQ-PLA-001438,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,8153,0,0
ARLQ-PLA-001370,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,4096,8,5590,0,16384,5915,0,0
ARLQ-PLA-001446,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,14461,0,0
ARLQ-PLA-001398,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,5140,0,0
ARLQ-PLA-001433,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,15412,0,0
ARLQ-PLA-001441,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,1043,0,0
ARLQ-PLA-001329,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,723,0,0
ARLQ-PLA-001446,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,197,0,0
ARLQ-PLA-001433,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,4028,0,0
ARLQ-PLA-001443,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,13637,0,0
ARLQ-PLA-001282,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,7000,0,0
ARLQ-PLA-001303,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,3358,0,0
ARLQ-PLA-001331,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,392,0,0
ARLQ-PLA-001446,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,1646,0,0
ARLQ-PLA-001431,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,14317,0,0
ARLQ-PLA-001431,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,15372,0,0
ARLQ-PLA-001330,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,8192,3423,0,0
ARLQ-PLA-001325,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,16384,8,22360,1,16384,6359,0,0
ARLQ-PLA-001358,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,16384,14161,0,0
ARLQ-PLA-001407,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,8855,0,0
ARLQ-PLA-001335,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,16384,4000,0,0
ARLQ-PLA-001407,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,5365,0,0
ARLQ-PLA-001398,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,10658,0,0
ARLQ-PLA-001432,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,13603,0,0
ARLQ-PLA-001431,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,9856,0,0
ARLQ-PLA-001447,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,15628,0,0
ARLQ-PLA-001441,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,12304,0,0
ARLQ-PLA-001398,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,3521,0,0
ARLQ-PLA-001331,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,711,0,0
ARLQ-PLA-001330,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,8192,1181,0,0
ARLQ-PLA-001406,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,905,0,0
ARLQ-PLA-001300,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,2704,0,0
ARLQ-PLA-001303,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,5546,0,0
ARLQ-PLA-001433,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,10956,0,0
ARLQ-PLA-001329,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,7149,0,0
ARLQ-PLA-001398,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,5816,0,0
ARLQ-PLA-001417,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,8800,1,4096,2207,0,0
ARLQ-PLA-001443,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,12081,0,0
ARLQ-PLA-001417,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,8800,1,4096,842,0,0
ARLQ-PLA-001331,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,1280,0,0
ARLQ-PLA-001406,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,15700,0,0
ARLQ-PLA-001433,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,11241,0,0
ARLQ-PLA-001274,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,16384,8,22360,1,16384,15457,0,0
ARLQ-PLA-001413,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,16384,4,8800,1,4096,1063,0,0
ARLQ-PLA-001417,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,8800,1,4096,4018,0,0
ARLQ-PLA-001274,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,16384,8,22360,1,16384,9878,0,0
ARLQ-PLA-001441,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,6418,0,0
ARLQ-PLA-001409,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,16384,8342,0,0
ARLQ-PLA-001432,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,7505,0,0
ARLQ-PLA-001433,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,768,0,0
ARLQ-PLA-001441,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,12159,0,0
ARLQ-PLA-001326,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,2423,0,0
ARLQ-PLA-001441,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,11184,0,0
ARLQ-PLA-001282,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,13956,0,0
ARLQ-PLA-001303,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,15085,0,0
ARLQ-PLA-001406,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,12681,0,0
ARLQ-PLA-001439,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,5820,0,0
ARLQ-PLA-001432,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,9776,0,0
ARLQ-PLA-001324,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,2711,0,0
ARLQ-PLA-001282,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,4652,0,0
ARLQ-PLA-001331,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,1138,0,0
ARLQ-PLA-001282,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,6447,0,0
ARLQ-PLA-001300,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,11117,0,0
ARLQ-PLA-001329,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,8014,0,0
ARLQ-PLA-001433,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,14478,0,0
ARLQ-PLA-001324,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,8877,0,0
ARLQ-PLA-001439,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,4505,0,0
ARLQ-PLA-001432,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,11380,0,0
ARLQ-PLA-001431,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,6419,0,0
ARLQ-PLA-001433,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,7737,0,0
ARLQ-PLA-001441,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,6440,0,0
ARLQ-PLA-001324,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,12992,0,0
ARLQ-PLA-001407,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,1201,0,0
ARLQ-PLA-001329,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,5097,0,0
ARLQ-PLA-001305,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,3671,0,0
ARLQ-PLA-001436,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,1419,0,0
ARLQ-PLA-001331,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,626,0,0
ARLQ-PLA-001300,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,10256,0,0
ARLQ-PLA-001433,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,12377,0,0
ARLQ-PLA-001305,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,2865,0,0
ARLQ-PLA-001330,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,8192,7327,0,0
ARLQ-PLA-001324,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,10183,0,0
ARLQ-PLA-001305,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,1971,0,0
ARLQ-PLA-001326,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,3185,0,0
ARLQ-PLA-001326,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,891,0,0
ARLQ-PLA-001324,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,1178,0,0
ARLQ-PLA-001433,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,3096,0,0
ARLQ-PLA-001431,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,14936,0,0
ARLQ-PLA-001431,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,3366,0,0
ARLQ-PLA-001432,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,12343,0,0
ARLQ-PLA-001300,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,10868,0,0
ARLQ-PLA-001329,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,3390,0,0
ARLQ-PLA-001475,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,6859,0,0
ARLQ-PLA-001477,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,15450,0,0
ARLQ-PLA-001472,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,11777,0,0
ARLQ-PLA-001476,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,6970,0,0
ARLQ-PLA-001478,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,9888,0,0
ARLQ-PLA-001486,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,11773,0,0
ARLQ-PLA-001471,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,14908,0,0
ARLQ-PLA-001477,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,8920,0,0
ARLQ-PLA-001300,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,7629,0,0
ARLQ-PLA-001441,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,15846,0,0
ARLQ-PLA-001443,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,15798,0,0
ARLQ-PLA-001464,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,13789,0,0
ARLQ-PLA-001431,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,16384,15136,0,0
ARLQ-PLA-001289,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,16384,8,22360,1,8192,7554,0,0
ARLQ-PLA-001383,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,4096,8,5590,0,16384,7492,0,0
ARLQ-PLA-001438,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,1067,0,0
ARLQ-PLA-001282,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,3420,0,0
ARLQ-PLA-001483,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,8680,0,0
ARLQ-PLA-001472,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,3339,0,0
ARLQ-PLA-001362,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,16384,14490,0,0
ARLQ-PLA-001407,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,11797,0,0
ARLQ-PLA-001303,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,11122,0,0
ARLQ-PLA-001447,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,11561,0,0
ARLQ-PLA-001417,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,8800,1,4096,1574,0,0
ARLQ-PLA-001442,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,11202,0,0
ARLQ-PLA-001282,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,14123,0,0
ARLQ-PLA-001433,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,11726,0,0
ARLQ-PLA-001432,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,2313,0,0
ARLQ-PLA-001443,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,4149,0,0
ARLQ-PLA-001436,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,91,0,0
ARLQ-PLA-001443,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,887,0,0
ARLQ-PLA-001438,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,5727,0,0
ARLQ-PLA-001406,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,5495,0,0
ARLQ-PLA-001432,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,8249,0,0
ARLQ-PLA-001398,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,10730,0,0
ARLQ-PLA-001417,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,8800,1,4096,1192,0,0
ARLQ-PLA-001438,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,3102,0,0
ARLQ-PLA-001443,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,2217,0,0
ARLQ-PLA-001443,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,16222,0,0
ARLQ-PLA-001436,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,4858,0,0
ARLQ-PLA-001441,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,9319,0,0
ARLQ-PLA-001436,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,4483,0,0
ARLQ-PLA-001398,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,14536,0,0
ARLQ-PLA-001443,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,8454,0,0
ARLQ-PLA-001406,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,13502,0,0
ARLQ-PLA-001330,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,8192,6200,0,0
ARLQ-PLA-001282,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,8233,0,0
ARLQ-PLA-001438,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,5065,0,0
ARLQ-PLA-001432,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,4544,0,0
ARLQ-PLA-001417,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,8800,1,4096,1405,0,0
ARLQ-PLA-001443,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,6398,0,0
ARLQ-PLA-001338,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,15062,0,0
ARLQ-PLA-001432,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,1005,0,0
ARLQ-PLA-001329,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,8192,7245,0,0
ARLQ-PLA-001417,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,8800,1,4096,3807,0,0
ARLQ-PLA-001398,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,5415,0,0
ARLQ-PLA-001398,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,5231,0,0
ARLQ-PLA-001431,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,14810,0,0
ARLQ-PLA-001338,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,11721,0,0
ARLQ-PLA-001338,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,10520,0,0
ARLQ-PLA-001305,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,3291,0,0
ARLQ-PLA-001433,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,2195,0,0
ARLQ-PLA-001282,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,6718,0,0
ARLQ-PLA-001319,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,1124,0,0
ARLQ-PLA-001305,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,2945,0,0
ARLQ-PLA-001434,hyp-141.x.omega.nebula,ECOM-01,poweredOff,16384,0,8,0,0,16384,3568,0,0
ARLQ-PLA-001338,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,880,0,0
ARLQ-PLA-001407,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,2929,0,0
ARLQ-PLA-001442,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,16296,0,0
ARLQ-PLA-001432,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,14881,0,0
ARLQ-PLA-001330,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,8192,7543,0,0
ARLQ-PLA-001441,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,9009,0,0
ARLQ-PLA-001398,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,14103,0,0
ARLQ-PLA-001417,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,8800,1,4096,564,0,0
ARLQ-PLA-001432,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,6154,0,0
ARLQ-PLA-001431,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,9904,0,0
ARLQ-PLA-001300,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,12519,0,0
ARLQ-PLA-001282,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,593,0,0
ARLQ-PLA-001406,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,12476,0,0
ARLQ-PLA-001331,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,1873,0,0
ARLQ-PLA-001319,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,1123,0,0
ARLQ-PLA-001300,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,4764,0,0
ARLQ-PLA-001324,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,512,0,0
ARLQ-PLA-001331,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,740,0,0
ARLQ-PLA-001431,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,4720,0,0
ARLQ-PLA-001406,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,5820,0,0
ARLQ-PLA-001300,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,5975,0,0
ARLQ-PLA-001305,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,4,11180,1,4096,3113,0,0
ARLQ-PLA-001307,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,10605,0,0
ARLQ-PLA-001319,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,1890,0,0
ARLQ-PLA-001282,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,2313,0,0
ARLQ-PLA-001324,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,5501,0,0
ARLQ-PLA-001441,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,4617,0,0
ARLQ-PLA-001431,hyp-141.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,17600,1,16384,8654,0,0
ARLQ-PLA-001406,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,10858,0,0
ARLQ-PLA-001300,hyp-140.x.omega.nebula,ECOM-01,poweredOn,16384,16384,8,22360,1,16384,12643,0,0
